,data,label
43,[0.00029405 0.000491   0.00043746 ... 0.00034334 0.00024435 0.00027722],6
44,"[-4.4943095e-05 -4.1861520e-05 -5.4666085e-05 ... -2.5611327e-04
 -2.5404120e-04 -1.9786948e-04]",9
45,"[ 0.00019103  0.00037299  0.00039742 ... -0.00013697 -0.00020456
  0.        ]",7
46,"[-0.00075993 -0.00129093 -0.00107032 ... -0.00104233 -0.00112872
  0.        ]",3
47,"[ 5.4601602e-05  7.4949152e-05  1.2199527e-04 ... -1.9624468e-04
 -1.9739001e-04  0.0000000e+00]",9
48,"[ 4.9651146e-05  3.3735720e-05  4.7251757e-05 ... -6.6475692e-04
 -5.3199567e-04 -4.9344962e-04]",5
49,"[ 9.3431088e-05  1.4450988e-04  1.3567612e-04 ... -2.0685454e-04
 -2.1959284e-04 -2.3730633e-04]",6
50,"[-0.00039657 -0.00064707 -0.00051745 ... -0.00031288 -0.0003469
 -0.00040588]",8
51,"[-0.00051489 -0.0008359  -0.00070433 ...  0.00031222  0.00033743
  0.        ]",8
52,"[ 6.89236958e-06 -1.05535155e-05  1.74170339e-06 ... -8.80541105e-04
 -8.08335026e-04  0.00000000e+00]",9
53,[0.00056034 0.0007791  0.00067    ... 0.00073006 0.00072845 0.        ],5
54,"[-0.00024519 -0.00035282 -0.0003589  ... -0.00088337 -0.00101169
  0.        ]",6
55,"[ 0.00027855  0.00042021  0.00039168 ... -0.00019815 -0.00025889
  0.        ]",0
56,"[ 2.3413253e-04  4.3615163e-04  4.1784844e-04 ... -3.6373103e-04
 -6.0686412e-05  0.0000000e+00]",6
57,"[9.4534393e-05 1.2417012e-04 8.0054873e-05 ... 2.5387021e-04 2.8308781e-04
 0.0000000e+00]",3
58,[0.00021014 0.00033591 0.00028252 ... 0.00027611 0.00029039 0.        ],1
59,"[ 0.0003428   0.00033332 -0.00073222 ... -0.00011851 -0.00018316
  0.        ]",3
60,"[ 2.4507477e-05  1.4757912e-04  1.0172346e-04 ... -1.3282809e-04
 -1.5383288e-04 -1.1195673e-04]",3
61,"[3.2252919e-05 2.1375827e-05 1.1059071e-05 ... 1.0831256e-04 1.5710334e-04
 6.4716449e-05]",3
62,"[1.0626077e-04 1.6204485e-04 1.4950290e-04 ... 9.8797515e-05 1.1961272e-04
 9.0923953e-05]",9
63,"[-3.4249746e-04 -5.9053005e-04 -5.3099095e-04 ... -1.8811612e-04
 -1.8406128e-05  0.0000000e+00]",5
64,"[ 0.00010668  0.00019852  0.0001277  ... -0.00033504 -0.00034526
  0.        ]",2
65,"[-0.00020482 -0.00041454 -0.00036724 ... -0.00060072 -0.0006867
  0.        ]",3
66,"[-0.00011059 -0.00015237 -0.00013909 ... -0.00011117 -0.00010886
  0.        ]",6
67,"[-0.00037663 -0.00067875 -0.00055577 ...  0.00024541  0.00020545
  0.00020307]",9
68,"[-1.0535103e-04 -2.2115998e-04 -2.1076183e-04 ... -7.7880497e-05
 -6.2082021e-05  0.0000000e+00]",4
69,"[-0.00039053 -0.00061875 -0.00054635 ...  0.0001012   0.00011274
  0.        ]",2
70,"[-1.9641097e-04 -3.3653210e-04 -3.0178408e-04 ...  3.1267158e-05
  4.1047835e-05  1.2982749e-05]",8
71,"[ 0.00012717  0.00023888  0.00022098 ... -0.00028708 -0.00035072
  0.        ]",1
72,"[-0.00013011 -0.00013905 -0.00015287 ...  0.00029489  0.00033689
  0.        ]",2
73,"[-4.2212789e-05 -2.2684537e-05 -8.4775646e-05 ...  3.7163798e-05
  4.7525955e-05  0.0000000e+00]",7
74,[0.00029359 0.00048969 0.00042253 ... 0.0005103  0.00049094 0.0005611 ],0
75,"[-7.6094046e-05 -1.4053479e-04 -1.3777716e-04 ...  1.4490022e-05
  1.9361432e-05  0.0000000e+00]",3
76,"[ 9.2006849e-05  9.6125099e-05  1.4320741e-04 ... -1.4465601e-04
 -1.6906872e-04  0.0000000e+00]",2
77,"[-2.1307927e-04 -3.8288883e-04 -3.6033677e-04 ... -4.2902248e-05
 -6.7694506e-05  0.0000000e+00]",1
78,"[-0.0001419  -0.00016216 -0.00014573 ...  0.00039483  0.00046088
  0.        ]",8
79,"[-4.2400308e-04 -7.1383774e-04 -6.4166356e-04 ... -2.6469163e-05
 -3.7772083e-06  0.0000000e+00]",3
80,[0.00010818 0.0002114  0.00017473 ... 0.00020118 0.00029141 0.        ],8
81,"[-0.00041474 -0.00067622 -0.00060899 ...  0.00094397  0.00090444
  0.00094792]",2
82,"[ 6.0658876e-05  1.6117725e-04  1.2459113e-04 ... -2.7263828e-04
 -2.8065444e-04  0.0000000e+00]",0
83,"[-8.2072074e-05 -1.3951593e-04 -1.4861416e-04 ... -2.2021407e-04
 -2.1587111e-04  0.0000000e+00]",9
84,[0.00045814 0.00074685 0.00062721 ... 0.00020158 0.00018469 0.00023198],3
85,"[-0.00095302 -0.00156775 -0.00134569 ... -0.00023994 -0.00030267
  0.        ]",6
86,"[6.6211469e-05 8.6062151e-05 8.9049099e-05 ... 1.6123225e-04 1.6322549e-04
 2.3506735e-04]",1
87,"[-1.4876068e-05 -1.2111880e-05 -2.2718255e-05 ...  2.0285948e-05
  1.6373173e-05 -2.9222550e-05]",8
88,"[ 1.7113713e-05  7.5863436e-06 -1.3450657e-06 ...  1.0111079e-03
  1.0408835e-03  0.0000000e+00]",9
89,[0.00014861 0.00024358 0.00021024 ... 0.00026493 0.00027552 0.        ],1
90,[0.0002095  0.00040682 0.00028243 ... 0.00022583 0.00022552 0.00023777],3
91,"[-8.51607474e-05 -1.14129456e-04 -1.47304629e-04 ...  2.09309626e-04
  2.17161069e-04  0.00000000e+00]",8
92,"[-0.00016669 -0.00027123 -0.00030731 ... -0.0002907  -0.00025041
 -0.00027536]",3
93,[0.0001807  0.00030778 0.00023853 ... 0.00013211 0.00014421 0.        ],1
94,"[ 0.00080124  0.00133592  0.00117816 ... -0.00060137 -0.00058975
 -0.00066566]",9
95,[0.00055567 0.0009315  0.00083247 ... 0.00015472 0.00019679 0.        ],5
96,"[-1.3161570e-04 -2.4126825e-04 -1.9822312e-04 ... -4.6348890e-05
 -5.3701671e-05  0.0000000e+00]",1
97,"[ 2.5487099e-05  7.3138523e-05  2.1742078e-05 ... -3.5323578e-04
 -2.8909030e-04 -3.6604848e-04]",2
98,"[-6.7039684e-05 -9.9681471e-05 -1.2657371e-04 ... -3.9954376e-04
 -4.0571074e-04  0.0000000e+00]",8
99,"[ 0.00026429  0.00046466  0.0004577  ... -0.0002308  -0.00022379
 -0.00027116]",0
100,"[-1.2694093e-04 -1.8038644e-04 -1.2015340e-04 ... -2.3565795e-05
 -5.4424825e-05  0.0000000e+00]",2
101,"[ 4.3961754e-05  3.0044682e-04 -6.1658218e-05 ... -1.5961489e-04
 -2.1385498e-04  0.0000000e+00]",4
102,"[-2.0221276e-04 -3.7780585e-04 -2.8854967e-04 ...  9.4424082e-05
  9.1387308e-05  0.0000000e+00]",2
103,"[-4.3939135e-06 -3.5311737e-06 -8.0481686e-06 ... -1.8085151e-04
 -1.3017183e-04  0.0000000e+00]",6
104,"[-0.00030709 -0.00055671 -0.0004765  ...  0.00091313  0.00100948
  0.        ]",7
105,"[-5.4090589e-05 -1.3994443e-04 -1.3878023e-04 ... -4.8828410e-04
 -4.3277568e-04 -4.8725822e-04]",2
106,"[ 6.3443782e-05  6.2382991e-05  2.9486193e-05 ... -5.6057278e-04
 -5.5011304e-04 -5.8665063e-04]",2
107,"[ 2.9477972e-06 -5.2372889e-05 -4.0059967e-05 ... -5.4857531e-04
 -7.7831274e-04  0.0000000e+00]",6
108,"[ 0.00033643  0.00057439  0.00048619 ... -0.00030823 -0.0003602
  0.        ]",1
109,"[-1.1623175e-05 -1.8493420e-05  3.9712824e-05 ...  7.6092576e-05
  7.1102761e-05  0.0000000e+00]",1
110,"[-6.4000278e-06 -5.0018825e-06 -6.2315089e-06 ...  5.9026317e-04
  5.3413940e-04  5.9503672e-04]",9
111,"[-0.00012105 -0.00018979 -0.00016088 ...  0.00013819  0.00021429
  0.        ]",4
112,"[-0.00015922 -0.00024762 -0.00024724 ... -0.00051768 -0.00050782
 -0.0005812 ]",7
113,"[-5.8048312e-04 -9.8780484e-04 -8.1831537e-04 ...  1.3720613e-05
  2.1816350e-05  0.0000000e+00]",4
114,"[ 0.00038508  0.00065838  0.0006088  ... -0.0013913  -0.0015995
  0.        ]",9
115,"[ 0.00069023  0.00115069  0.00102369 ... -0.00045546 -0.00051871
  0.        ]",9
116,"[-9.9586359e-05 -1.8014791e-04 -1.8736780e-04 ... -1.0355570e-04
 -1.5835055e-04 -1.7119139e-04]",4
117,"[-0.00046596 -0.00070385 -0.00064541 ...  0.00055242  0.00054989
  0.        ]",3
118,"[ 4.8690647e-05  4.6980153e-05 -2.3212615e-05 ... -1.5141950e-04
 -8.6193890e-05  0.0000000e+00]",9
119,"[-1.7623669e-04 -2.8770627e-04 -2.5806873e-04 ...  9.2492774e-05
  9.4434101e-05  1.1132198e-04]",9
120,"[-0.00027718 -0.00045959 -0.00041617 ... -0.00035163 -0.00028393
 -0.00030345]",6
121,"[5.6116231e-05 1.0089301e-04 8.6365741e-05 ... 1.7178080e-04 1.9624238e-04
 2.1267583e-04]",1
122,"[-0.00026143 -0.00043513 -0.0003663  ... -0.00015565 -0.000164
 -0.00011293]",2
123,"[-6.6481093e-06  3.6381778e-05  5.2745589e-05 ... -1.2332374e-04
 -1.1942370e-04  0.0000000e+00]",1
124,"[-0.00010566 -0.00023415 -0.00021212 ... -0.00050604 -0.00058086
  0.        ]",4
125,"[ 4.7677739e-05  6.0397826e-05  4.8804744e-05 ... -1.2677819e-04
 -8.9114830e-05  0.0000000e+00]",9
126,"[ 0.00019327  0.00037991  0.00030637 ... -0.00062426 -0.00076325
  0.        ]",7
127,"[-9.0438960e-05 -1.8425038e-04 -1.7912123e-04 ... -1.0532067e-05
  7.4310934e-05  0.0000000e+00]",9
128,"[ 0.00019241  0.00033366  0.00029176 ... -0.00079612 -0.00095063
  0.        ]",7
129,"[-0.00040579 -0.00065722 -0.00056614 ... -0.00042454 -0.00045909
  0.        ]",2
130,"[ 0.00017681  0.00031188  0.00024897 ... -0.00105946 -0.00115062
  0.        ]",2
131,"[-4.9553430e-05 -1.1826606e-04 -1.2920825e-04 ...  1.1044982e-04
  1.8198408e-04  0.0000000e+00]",0
132,"[-6.0987128e-05 -1.1062814e-04 -5.9101090e-05 ...  1.7686882e-04
  1.0910412e-04  1.7063873e-04]",3
133,"[-0.00101377 -0.00163186 -0.00140393 ... -0.00210043 -0.00196107
 -0.00224936]",1
134,"[-0.00018697 -0.00031393 -0.00024002 ... -0.00047767 -0.00044354
 -0.00069984]",8
135,"[ 2.8084014e-05  5.9817579e-05  4.7468093e-05 ... -1.5040381e-04
 -2.0277058e-04  0.0000000e+00]",0
136,"[-1.4133425e-04 -2.1097016e-04 -1.3589692e-04 ... -7.4754411e-05
 -1.6064359e-06  0.0000000e+00]",7
137,[0.00026259 0.00039851 0.00036244 ... 0.00036054 0.00028805 0.00027936],2
138,"[-6.7333189e-05 -1.5349159e-04 -1.2647657e-04 ... -1.7817254e-04
 -2.3223502e-04  0.0000000e+00]",0
139,"[-5.97187827e-05 -1.02841310e-04 -1.04049395e-04 ... -3.89832217e-04
 -2.88957119e-04  0.00000000e+00]",1
140,"[-5.74809492e-05 -1.19552176e-04 -5.67079514e-05 ...  3.03912948e-05
  8.24661674e-06  0.00000000e+00]",8
141,"[ 2.0831802e-05  3.4516459e-05 -1.3488476e-06 ...  3.3617494e-04
  4.1878744e-04  0.0000000e+00]",2
142,"[-2.5831479e-05 -8.1141652e-06 -1.0297345e-05 ...  1.3741470e-04
  1.9421415e-04  0.0000000e+00]",0
143,"[-0.00120829 -0.002026   -0.00168804 ...  0.00561101  0.00533601
  0.00583686]",5
144,"[ 0.00017766  0.0003265   0.00026957 ... -0.00023778 -0.00023243
  0.        ]",2
145,"[-3.6328936e-05 -7.1725924e-05 -8.6861248e-05 ... -5.0914014e-04
 -5.1910582e-04  0.0000000e+00]",4
146,"[-7.9013380e-06 -4.7054553e-05 -3.6908681e-05 ... -4.6202858e-04
 -3.9414398e-04 -4.2633706e-04]",1
147,"[-7.6475990e-05 -1.3091089e-04 -1.0871870e-04 ... -3.4698084e-04
 -4.3005476e-04  0.0000000e+00]",9
148,"[2.9852268e-05 1.0643879e-04 1.1599759e-04 ... 1.4989622e-04 1.8413078e-04
 0.0000000e+00]",0
149,"[ 5.8838872e-05  1.3033327e-04  1.2440067e-04 ... -3.6345475e-04
 -3.3585913e-04  0.0000000e+00]",5
150,"[-0.00014347 -0.00026107 -0.00013561 ...  0.00030241  0.00025079
  0.        ]",5
151,"[-1.4077248e-05 -6.3057290e-05 -3.3231234e-05 ... -3.3011567e-04
 -3.9189486e-04  0.0000000e+00]",5
152,"[2.5635684e-04 4.2858481e-04 3.7890731e-04 ... 1.1253269e-04 9.5232928e-05
 8.6597574e-05]",4
153,"[ 3.1121395e-05  2.4198989e-05  1.4117207e-05 ... -1.7774850e-04
 -2.5505552e-04  0.0000000e+00]",6
154,"[-0.00033127 -0.0010355  -0.00191403 ...  0.00043085  0.00054719
  0.        ]",5
155,"[ 5.3589396e-05  8.6493324e-05  1.3468054e-04 ... -7.9005527e-05
 -8.8748420e-05  0.0000000e+00]",7
156,[0.00032539 0.00051948 0.00046786 ... 0.00041517 0.00041318 0.00047331],7
157,"[-6.4658940e-05 -1.1598523e-04 -2.6785280e-04 ... -7.9558435e-05
 -1.6320104e-04  0.0000000e+00]",4
158,"[ 1.0281580e-03  1.6509278e-03  1.4365179e-03 ... -7.4969095e-05
 -8.7382556e-05 -1.3264619e-04]",1
159,"[-1.5332195e-04 -2.9302362e-04 -8.3211649e-05 ...  3.3912546e-04
  3.0207730e-04  1.9209177e-04]",3
160,"[-1.2115620e-04 -1.3689643e-04 -1.1062071e-04 ...  8.5877284e-05
  1.1647661e-04  1.4740055e-04]",1
161,"[-0.0004238  -0.00072874 -0.00064293 ... -0.0018436  -0.00189766
  0.        ]",8
162,"[ 0.00012387  0.00021388  0.00019814 ... -0.00022351 -0.00027446
  0.        ]",0
163,"[-6.5248947e-05 -9.3943083e-05 -1.2491515e-04 ... -7.3500513e-04
 -8.0499187e-04  0.0000000e+00]",8
164,[0.0002094  0.0003625  0.00037758 ... 0.00020101 0.00026032 0.        ],7
165,"[ 0.00015574  0.00021334  0.00022956 ... -0.00037903 -0.00041445
  0.        ]",8
166,"[-1.2482778e-04 -1.8330829e-04 -1.5266774e-04 ... -4.6963789e-05
 -2.9456480e-05  9.6824342e-06]",9
167,"[-0.00016064 -0.0002527  -0.00024231 ...  0.00046069  0.00053608
  0.        ]",4
168,"[-7.0365619e-05 -1.5757336e-04 -1.5813386e-04 ... -3.6540479e-04
 -4.1226056e-04  0.0000000e+00]",5
169,"[1.8982415e-05 3.2389671e-05 1.9762820e-05 ... 2.4189911e-04 2.3679643e-04
 0.0000000e+00]",2
170,"[-0.00012677 -0.0002681  -0.00022815 ... -0.0009341  -0.00117809
 -0.00112545]",0
171,"[-0.00012516 -0.00023564 -0.00022372 ...  0.00022804  0.00023924
  0.        ]",0
172,"[-3.2669911e-04 -5.2531529e-04 -4.5253933e-04 ...  8.1294733e-05
  3.1793261e-05  0.0000000e+00]",0
173,"[-5.9880527e-05 -6.9779999e-05 -2.0737716e-06 ...  3.0912107e-04
  3.9925819e-04  5.0864660e-04]",3
174,"[-0.00014167 -0.00021561 -0.00019719 ...  0.00012856  0.00015162
  0.        ]",6
175,"[6.36842815e-05 1.14903916e-04 7.39134994e-05 ... 9.36265642e-05
 1.34135393e-04 0.00000000e+00]",7
176,"[-0.00052395 -0.00088986 -0.00075264 ... -0.00076547 -0.00064119
 -0.00079693]",6
177,[0.00193909 0.00317895 0.00273432 ... 0.00184728 0.00194672 0.        ],6
178,"[-0.00055872 -0.00098802 -0.00086216 ...  0.00125223  0.00145935
  0.        ]",5
179,"[-0.00054716 -0.0009142  -0.00082665 ... -0.00014085 -0.00015271
  0.        ]",2
180,"[-0.00046004 -0.00077829 -0.00058405 ...  0.00030673  0.0002084
  0.00023471]",2
181,"[-0.00044812 -0.000658   -0.00059571 ...  0.00079237  0.00079075
  0.        ]",4
182,"[-0.00025514 -0.00043802 -0.00030671 ...  0.00096871  0.00116836
  0.        ]",6
183,"[ 0.00013787  0.00019675  0.00015364 ... -0.00062064 -0.00063409
 -0.00073032]",3
184,"[-2.48377728e-05 -1.05199346e-04 -7.79433831e-05 ...  6.82610626e-05
  1.11522109e-04  0.00000000e+00]",9
185,"[5.9841368e-05 1.5338005e-04 1.0559979e-04 ... 2.8828334e-04 2.6925272e-04
 3.0052490e-04]",8
186,"[-0.00036272 -0.00062223 -0.00056881 ...  0.00107591  0.00104497
  0.00109127]",9
187,"[1.6190953e-04 2.9345648e-04 2.1700596e-04 ... 7.5151118e-05 1.4742739e-05
 0.0000000e+00]",1
188,[0.00018884 0.00035702 0.0003289  ... 0.00021218 0.00028595 0.        ],8
189,"[-0.00050576 -0.0008194  -0.00071651 ...  0.00056631  0.00052659
  0.00053814]",4
190,"[ 2.1455828e-05  1.3592945e-05  5.0971307e-06 ... -2.7216761e-04
 -3.6130133e-04  0.0000000e+00]",3
191,"[ 0.0001219   0.00017531  0.00010356 ... -0.00084543 -0.00099044
  0.        ]",2
192,"[ 0.00029979  0.00048161  0.00037471 ... -0.0005543  -0.00061923
  0.        ]",4
193,"[-9.9332545e-05 -3.1752704e-04 -1.9626810e-04 ... -7.6100067e-04
 -7.7984680e-04  0.0000000e+00]",4
194,"[-5.7570043e-05 -1.1126373e-04 -1.2819159e-04 ... -5.2069186e-04
 -6.7100488e-04  0.0000000e+00]",2
195,[0.00034228 0.00055966 0.0005164  ... 0.0004812  0.00059093 0.        ],0
196,"[1.9765360e-04 2.6949789e-04 2.4740869e-04 ... 2.1116524e-04 1.4650931e-04
 8.3910054e-05]",9
197,"[ 0.00011893  0.00020037  0.00019835 ... -0.00079117 -0.0008231
  0.        ]",6
198,"[-0.00015171 -0.00023247 -0.00021622 ...  0.00043983  0.00052087
  0.        ]",4
199,"[-5.2658484e-05 -3.0444713e-05 -5.1640451e-05 ... -1.4028831e-04
 -1.4537243e-04 -1.8137707e-04]",3
200,"[-1.4006275e-04 -2.4374211e-04 -2.9704286e-04 ... -7.9999118e-05
 -1.1370287e-04  0.0000000e+00]",6
201,"[-5.62319437e-05 -1.00131605e-04 -1.15706942e-04 ... -7.50066320e-05
 -1.05634907e-04  0.00000000e+00]",3
202,[0.00034352 0.00062931 0.00058978 ... 0.00013205 0.00016283 0.00027743],8
203,"[-3.1394913e-04 -4.6890354e-04 -3.6174996e-04 ... -1.0566989e-04
 -8.1555510e-05 -5.1007446e-05]",7
204,"[-7.2413051e-05 -6.7738962e-05 -9.9688812e-05 ... -1.9703852e-04
 -2.4498053e-04 -2.3030699e-04]",7
205,"[-2.7824097e-05 -1.9489523e-06  4.9579330e-06 ... -5.5618549e-04
 -6.1934150e-04  0.0000000e+00]",7
206,"[3.4921672e-04 5.7235506e-04 4.8346529e-04 ... 5.2307481e-05 6.0095350e-05
 0.0000000e+00]",9
207,"[-8.7220913e-05 -2.0622391e-04 -2.3622059e-04 ...  2.6209344e-04
  2.5937110e-04  3.4955030e-04]",1
208,"[ 0.0001801   0.00025881  0.00025694 ... -0.00361617 -0.00357539
  0.        ]",1
209,"[-0.00065488 -0.0011662  -0.00097083 ... -0.00076265 -0.00081544
  0.        ]",9
210,"[ 0.00016733  0.00020946  0.00013116 ... -0.00024999 -0.00017153
 -0.00020173]",0
211,"[-0.00043523 -0.00070366 -0.00063304 ... -0.0001358  -0.00012326
  0.        ]",0
212,"[ 2.5892138e-04  4.6078255e-04  3.7030628e-04 ... -7.4209529e-06
 -3.5341684e-05  0.0000000e+00]",9
213,"[-1.3521178e-05 -2.2059881e-07  7.4610657e-06 ...  1.4939927e-05
  5.7030480e-05  0.0000000e+00]",6
214,"[ 1.74069370e-04  2.82108696e-04  2.33138882e-04 ... -9.25038767e-05
 -1.03261584e-04  0.00000000e+00]",4
215,"[-0.00029245 -0.00040311 -0.00031962 ... -0.00056813 -0.0006806
  0.        ]",1
216,"[ 1.4649679e-05  1.9779898e-05  5.6933641e-07 ... -3.4873327e-05
 -2.9454093e-06  0.0000000e+00]",8
217,"[2.5750743e-04 4.3984602e-04 3.8407004e-04 ... 6.1471474e-05 7.2750117e-05
 0.0000000e+00]",1
218,"[9.8084136e-05 1.3139952e-04 9.4176030e-05 ... 6.9492533e-05 3.9412975e-05
 0.0000000e+00]",2
219,"[6.2070714e-05 1.2547422e-04 1.2727534e-04 ... 2.3446089e-04 1.9507841e-04
 2.3654748e-04]",3
220,[0.00011977 0.000159   0.00014666 ... 0.00035776 0.00033321 0.        ],5
221,"[ 0.0001344   0.00021295  0.00014532 ... -0.00016061 -0.00018662
  0.        ]",4
222,"[ 0.000277    0.00039634  0.0002792  ... -0.00023488 -0.00032535
  0.        ]",5
223,"[-1.0971611e-06 -4.8854727e-05 -4.5224126e-05 ...  1.2385438e-04
  7.5028707e-05  0.0000000e+00]",6
224,"[-0.00013405 -0.00020637 -0.00019636 ...  0.00049244  0.00044625
  0.00050968]",0
225,"[-0.00020736 -0.00032222 -0.0002784  ...  0.00047718  0.00041467
  0.00044306]",2
226,"[ 2.6551186e-04  3.9521669e-04  3.5776081e-04 ... -3.7379188e-05
 -1.0603419e-04  0.0000000e+00]",4
227,"[ 0.00029032  0.00048537  0.00038821 ... -0.00023039 -0.00018195
 -0.00020302]",1
228,"[-0.00022149 -0.00041175 -0.00034994 ... -0.00023204 -0.00027887
  0.        ]",3
229,"[-7.4103678e-05 -1.6311902e-04 -7.2234798e-05 ...  3.0957747e-04
  3.6345291e-04  0.0000000e+00]",3
230,"[-0.00033203 -0.00054455 -0.0004477  ... -0.01231541 -0.01408327
  0.        ]",0
231,"[-9.0740403e-05 -1.6544455e-04 -1.5305405e-04 ... -7.6628604e-04
 -7.2739285e-04 -8.0412807e-04]",6
232,"[-0.00026439 -0.00044259 -0.00013891 ... -0.00084739 -0.00056225
  0.        ]",6
233,"[ 1.0048209e-04  1.5197210e-04  2.1017983e-04 ... -1.0753184e-04
 -6.8680063e-05  0.0000000e+00]",8
234,"[5.6989388e-06 3.8204515e-05 1.6928192e-05 ... 2.6947146e-04 1.9894665e-04
 2.0092871e-04]",3
235,"[-1.8157338e-05 -3.9022347e-05 -5.8760841e-05 ... -9.9700199e-05
 -1.4387530e-04  0.0000000e+00]",6
236,"[ 0.00017066  0.000331    0.00028058 ... -0.00015147 -0.00017248
 -0.0002186 ]",0
